name,trigramme,car_number,nationality
Lando Norris,NOR,4,UK
Oscar Piastri,PIA,81,Australia
Max Verstappen,VER,1,Netherlands
George Russel,RUS,63,UK
Charles Leclerc,LEC,16,Monaco
Kimi Antonelli,ANT,12,Italy
Lewis Hamilton,HAM,44,UK
Alexander Albon,ALB,23,Thailand
Esteban Ocon,OCO,31,France
Lance Stroll,STR,18,Canada
Pierre Gasly,GAS,10,France
Nico Hulkenberg,HUL,27,Germany
Oliver Bearman,BEA,87,UK
Yuki Tsunoda,TSU,22,Japan
Isack Hadjar,HAD,6,France
Carlos Sainz,SAI,55,Spain
Fernando Alonso,ALO,14,Spain
Liam Lawson,LAW,30,New Zealand
Jack Doohan,DOO,7,Australia
Gabriel Bortoleto,BOR,5,Brazil
