round_number,round_name,country,circuit,round_date,round_type
01,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Australia,Albert Park Grand Prix Circuit,2025-03-16,GP
02,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,China,Shanghai International Circuit,2025-03-23,Sprint
03,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025,Japan,Suzuka Circuit,2025-04-06,GP
04,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Bahrein,Bahrain International Circuit,2025-04-13,GP
05,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,Saudi Arabia,Jeddah Corniche Circuit,2025-04-20,GP
06,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,US,Miami International Autodrome,2025-05-04,Sprint
07,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,Italy,Autodromo Internazionale Enzo e Dino Ferrari,2025-05-18,GP
08,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,Monaco,Circuit de Monaco,2025-05-25,GP
09,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,Spain,Circuit de Barcelona-Catalunya,2025-06-01,GP
10,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,Canada,Circuit Gilles-Villeneuve,2025-06-15,GP
11,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,Austria,Red Bull Ring,2025-06-29,GP
12,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,UK,Silverstone Circuit,2025-07-06,GP
13,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,Belgium,Circuit de Spa-Francorchamps,2025-07-27,Sprint
14,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,Hungary,Hungaroring,2025-08-03,GP
15,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,Netherlands,Circuit Zandvoort,2025-08-31,GP
16,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,Italy,Autodromo Nazionale Monza,2025-09-07,GP
17,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,Azerbaijan,Baku City Circuit,2025-09-21,GP
18,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,Singapore,Marina Bay Street Circuit,2025-10-05,GP
19,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,US,Circuit of The Americas,2025-10-19,Sprint
20,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,Mexico,Autódromo Hermanos Rodríguez,2025-10-26,GP
21,FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025,Brazil,Autódromo José Carlos Pace,2025-11-09,Sprint
22,FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025,US,Las Vegas Strip Circuit,2025-11-23,GP
23,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025,Qatar,Lusail International Circuit,2025-11-30,Sprint
24,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025,Abu Dhabi,Yas Marina Circuit,2025-12-07,GP
