car_position,car_number,constructor_full_name,result_time
1,4,McLaren Mercedes,1:15.415
2,81,McLaren Mercedes,1:15.468
3,1,Red Bull Racing Honda RBPT,1:15.565
4,63,Mercedes,1:15.798
5,22,Racing Bulls Honda RBPT,1:16.009
6,23,Williams Mercedes,1:16.017
7,16,Ferrari,1:15.827
8,44,Ferrari,1:15.919
9,10,Alpine Renault,1:16.112
10,55,Williams Mercedes,1:15.931
11,6,Racing Bulls Honda RBPT,1:16.175
12,14,Aston Martin Aramco Mercedes,1:16.453
13,18,Aston Martin Aramco Mercedes,1:16.483
14,7,Alpine Renault,1:16.863
15,5,Kick Sauber Ferrari,1:17.520
