car_position,car_number,constructor_full_name,result_time
1,4,McLaren Mercedes,1:42:06
2,1,Red Bull Racing Honda RBPT,0.895s
3,63,Mercedes,8.481s
4,12,Mercedes,10.135s
5,23,Williams Mercedes,12.773s
6,18,Aston Martin Aramco Mercedes,17.413s
7,27,Kick Sauber Ferrari,18.423s
8,16,Ferrari,19.826s
9,81,McLaren Mercedes,20.448s
10,44,Ferrari,22.473s
11,10,Alpine Renault,26.502s
12,22,Racing Bulls Honda RBPT,29.884s
13,31,Haas Ferrari,33.161s
14,87,Haas Ferrari,40.351s
NC,30,Red Bull Racing Honda RBPT,DNF
NC,5,Kick Sauber Ferrari,DNF
NC,14,Aston Martin Aramco Mercedes,DNF
NC,55,Williams Mercedes,DNF
NC,7,Alpine Renault,DNF
NC,6,Racing Bulls Honda RBPT,DNF
